Alvand;IR;36.1893;50.0643;Alvand;90000
Azadshahr;IR;34.79049;48.57011;Azadshahr;514102
Protaras;CY;35.0125;34.05833;Protaras;20230
Kahriz;IR;34.3838;47.0553;Kahriz;766706
Nurabad;IR;34.0734;47.9725;Nurabad;73528
Istgah-e Rah Ahan-e Garmsar;IR;35.23455;52.30942;Istgah-e Rah Ahan-e Garmsar;49491
Qarchak;IR;35.42867;51.57544;Qarchak;251834
Shahre Jadide Andisheh;IR;35.6803;51.0193;Shahre Jadide Andisheh;80000
Khorramdarreh;IR;36.20777;49.19527;Khorramdarreh;50528
Padegan-e Manjil;IR;36.7415;49.4161;Padegan-e Manjil;17396
Wanlaweyn;SO;2.6185;44.8938;Wanlaweyn;22022
Qoryooley;SO;1.78784;44.52999;Qoryooley;51720
Qandala;SO;11.47197;49.87282;Qandala;15923
Mogadishu;SO;2.03711;45.34375;Mogadishu;2587183
Marka;SO;1.71594;44.77166;Marka;230100
Luuq;SO;3.80315;42.54417;Luuq;33820
Kismayo;SO;-0.35817;42.54536;Kismayo;234852
Jilib;SO;0.48829;42.78535;Jilib;43694
Jawhar;SO;2.78087;45.50048;Jawhar;47086
Jamaame;SO;0.06968;42.74497;Jamaame;185270
Hargeysa;SO;9.56;44.065;Hargeysa;477876
Garoowe;SO;8.40207;48.48284;Garoowe;57300
Gaalkacyo;SO;6.76972;47.43083;Gaalkacyo;61200
Eyl;SO;7.9803;49.8164;Eyl;18904
Ceerigaabo;SO;10.61616;47.36795;Ceerigaabo;33853
Ceeldheer;SO;3.84878;47.18064;Ceeldheer;26562
Buurhakaba;SO;2.80257;44.07805;Buurhakaba;27792
Buulobarde;SO;3.85375;45.56744;Buulobarde;16928
Burao;SO;9.52213;45.53363;Burao;99270
Bosaso;SO;11.28421;49.18158;Bosaso;74287
Berbera;SO;10.43959;45.01432;Berbera;242344
Beledweyne;SO;4.73583;45.20361;Beledweyne;55410
Baidoa;SO;3.11383;43.6498;Baidoa;129839
Baardheere;SO;2.34464;42.27644;Baardheere;42240
Afgooye;SO;2.1381;45.1212;Afgooye;65461
Yasuj;IR;30.66824;51.58796;Yasuj;96786
Zinjibar;YE;13.12871;45.38073;Zinjibar;19879
Zabid;YE;14.1951;43.31518;Zabid;52590
Yarim;YE;14.29804;44.37795;Yarim;33050
Ta`izz;YE;13.57952;44.02091;Ta`izz;615222
Sayyan;YE;15.17177;44.32442;Sayyan;69404
Sanaa;YE;15.35472;44.20667;Sanaa;1937451
Sahar;YE;15.31637;44.3088;Sahar;31859
Sa'dah;YE;16.94021;43.76393;Sa'dah;51870
Ma'rib;YE;15.46253;45.32581;Ma'rib;16794
Lahij;YE;13.05667;44.88194;Lahij;23375
Ibb;YE;13.96667;44.18333;Ibb;234837
Hajjah;YE;15.69425;43.60582;Hajjah;43549
Dhi as Sufal;YE;13.83446;44.11469;Dhi as Sufal;37997
Dhamar;YE;14.54274;44.40514;Dhamar;160114
Bayt al Faqih;YE;14.51635;43.32446;Bayt al Faqih;34204
Bajil;YE;15.05898;43.28731;Bajil;48218
Ataq;YE;14.53767;46.83187;Ataq;37315
'Amran;YE;15.6594;43.94385;'Amran;90792
Mukalla;YE;14.54248;49.12424;Mukalla;258132
Al Hudaydah;YE;14.79781;42.95452;Al Hudaydah;617871
Al Hazm;YE;16.16406;44.77692;Al Hazm;18241
Al Bayda;YE;13.98523;45.57272;Al Bayda;37821
Tobruk;LY;32.08963;23.95385;Tobruk;121052
Qaryat Suluq;LY;31.66818;20.25205;Qaryat Suluq;15543
Darnah;LY;32.76704;22.63669;Darnah;78782
Benghazi;LY;32.11486;20.06859;Benghazi;650629
Az Zuwaytinah;LY;30.9522;20.12022;Az Zuwaytinah;21015
At Taj;LY;24.20487;23.2857;At Taj;46050
Tukrah;LY;32.53414;20.57911;Tukrah;23164
Al Qubbah;LY;32.75684;22.24106;Al Qubbah;24631
Al Marj;LY;32.49257;20.82909;Al Marj;85315
Al Jawf;LY;24.1989;23.29093;Al Jawf;17320
Al Bayda';LY;32.76272;21.75506;Al Bayda';74594
Al Abyar;LY;32.19;20.59653;Al Abyar;32563
Ajdabiya;LY;30.75545;20.22625;Ajdabiya;134358
Zaxo;IQ;37.14871;42.68591;Zaxo;95052
Umm Qasr;IQ;30.0362;47.91951;Umm Qasr;107620
Tozkhurmato;IQ;34.88808;44.63256;Tozkhurmato;59886
Tikrit;IQ;34.61581;43.67861;Tikrit;42477
Tallkayf;IQ;36.49118;43.12114;Tallkayf;23524
Sinah;IQ;36.80851;43.03935;Sinah;128776
Samarra';IQ;34.1959;43.88568;Samarra';158508
Nahiyat Saddat al Hindiyah;IQ;32.71557;44.27857;Nahiyat Saddat al Hindiyah;30622
Ruwandiz;IQ;36.61207;44.52372;Ruwandiz;22943
Al-Hamdaniya;IQ;36.27093;43.37758;Al-Hamdaniya;50000
Mandali;IQ;33.7481;45.55503;Mandali;29785
Koysinceq;IQ;36.08289;44.62873;Koysinceq;44987
Kifri;IQ;34.68963;44.96057;Kifri;30143
Kirkuk;IQ;35.46806;44.39222;Kirkuk;601433
Karbala;IQ;32.61603;44.02488;Karbala;434450
Erbil;IQ;36.18333;44.01193;Erbil;932800
Hit;IQ;33.63664;42.82768;Hit;31901
Halabjah;IQ;35.17778;45.98611;Halabjah;57333
Hadithah;IQ;34.13661;42.37727;Hadithah;30925
Dihok;IQ;36.86709;42.98845;Dihok;284000
Jamjamal;IQ;35.53356;44.8343;Jamjamal;75634
Bayji;IQ;34.92915;43.48878;Bayji;36454
Batufe;IQ;37.17454;43.01233;Batufe;26000
Baqubah;IQ;33.75403;44.60518;Baqubah;152550
Baynjiwayn;IQ;35.62329;45.94714;Baynjiwayn;27116
Balad;IQ;34.01485;44.14574;Balad;42088
Baghdad;IQ;33.34058;44.40088;Baghdad;7216000
Az Zubayr;IQ;30.39213;47.70175;Az Zubayr;122676
As Suwayrah;IQ;32.92556;44.77583;As Suwayrah;42354
As Sulaymaniyah;IQ;35.56496;45.4329;As Sulaymaniyah;723170
As Samawah;IQ;31.33198;45.2944;As Samawah;152890
Nahiyat ash Shinafiyah;IQ;31.58376;44.64675;Nahiyat ash Shinafiyah;22643
Ash Shatrah;IQ;31.40906;46.1727;Ash Shatrah;82732
Ash Shamiyah;IQ;31.96257;44.60075;Ash Shamiyah;57661
Ar Rutbah;IQ;33.03718;40.28586;Ar Rutbah;22370
Ar Rumaythah;IQ;31.52845;45.20377;Ar Rumaythah;47248
Ramadi;IQ;33.42056;43.30778;Ramadi;274539
'Aqrah;IQ;36.76038;43.89428;'Aqrah;23000
Nasiriyah;IQ;31.05799;46.25726;Nasiriyah;400249
Najaf;IQ;32.02594;44.34625;Najaf;482576
'Anat al Qadimah;IQ;34.46934;41.94223;'Anat al Qadimah;19719
Imam Qasim;IQ;32.29799;44.68282;Imam Qasim;36992
Al Musayyib;IQ;32.77872;44.29005;Al Musayyib;42901
Al Mishkhab;IQ;31.80437;44.4893;Al Mishkhab;23189
Al Miqdadiyah;IQ;33.97861;44.93694;Al Miqdadiyah;50698
Al Mawsil al Jadidah;IQ;36.33271;43.10555;Al Mawsil al Jadidah;2065597
Mosul;IQ;36.335;43.11889;Mosul;1739800
Al Kut;IQ;32.5128;45.81817;Al Kut;315162
Kufa;IQ;32.05114;44.44017;Kufa;110000
Khalis;IQ;33.80809;44.53343;Khalis;70046
'Ali al Gharbi;IQ;32.46186;46.68794;'Ali al Gharbi;19711
Al Hindiyah;IQ;32.54671;44.22765;Al Hindiyah;57490
Al Hillah;IQ;32.46367;44.41963;Al Hillah;289709
Al Hayy;IQ;32.17419;46.04345;Al Hayy;78272
Al Harithah;IQ;30.58481;47.76114;Al Harithah;92395
Nahiyat Ghammas;IQ;31.74311;44.6196;Nahiyat Ghammas;30909
Nahiyat al Fuhud;IQ;30.96972;46.72278;Nahiyat al Fuhud;21551
Al Faw;IQ;29.97421;48.47309;Al Faw;104569
Al Fallujah;IQ;33.34913;43.78599;Al Fallujah;190159
Basrah;IQ;30.50852;47.7804;Basrah;2600000
Al 'Aziziyah;IQ;32.90941;45.06359;Al 'Aziziyah;44751
Al 'Amarah;IQ;31.83561;47.14483;Al 'Amarah;323302
'Afak;IQ;32.0643;45.24743;'Afak;21888
Ad Dujayl;IQ;33.84667;44.23444;Ad Dujayl;26362
Ad Diwaniyah;IQ;31.99289;44.92552;Ad Diwaniyah;318801
Abu Ghurayb;IQ;33.30563;44.18477;Abu Ghurayb;900000
Yanbu;SA;24.08954;38.0618;Yanbu;200161
Umm Lajj;SA;25.02126;37.2685;Umm Lajj;33874
Turaif;SA;31.67252;38.66374;Turaif;40819
Turabah;SA;21.21406;41.6331;Turabah;23235
Tarut;SA;26.5733;50.04028;Tarut;85371
Tabuk;SA;28.3998;36.57151;Tabuk;455450
Tubarjal;SA;30.49987;38.21603;Tubarjal;40019
Sultanah;SA;24.49258;39.58572;Sultanah;946697
Sayhat;SA;26.48345;50.04849;Sayhat;66702
Samitah;SA;16.59601;42.94435;Samitah;26945
Sakakah;SA;29.96974;40.20641;Sakakah;128332
Safwa;SA;26.6497;49.95522;Safwa;45876
Sabya;SA;17.1495;42.62537;Sabya;54108
Rahimah;SA;26.70791;50.06194;Rahimah;41188
Rabigh;SA;22.79856;39.03493;Rabigh;41759
Qal`at Bishah;SA;20.00054;42.6052;Qal`at Bishah;81828
Najran;SA;17.49326;44.12766;Najran;258573
Mecca;SA;21.42664;39.82563;Mecca;1323624
Khamis Mushait;SA;18.3;42.73333;Khamis Mushait;387553
Jizan;SA;16.88917;42.55111;Jizan;105198
Jeddah;SA;21.54238;39.19797;Jeddah;2867446
Ha'il;SA;27.52188;41.69073;Ha'il;267005
Hafar Al-Batin;SA;28.43279;45.97077;Hafar Al-Batin;271642
Duba;SA;27.35134;35.69014;Duba;22000
Buraydah;SA;26.32599;43.97497;Buraydah;391336
Abqaiq;SA;25.93402;49.6688;Abqaiq;29474
Badr Hunayn;SA;23.78292;38.79047;Badr Hunayn;27257
Az Zulfi;SA;26.29945;44.81542;Az Zulfi;53144
Dhahran;SA;26.28864;50.11396;Dhahran;99540
At Taraf;SA;25.36232;49.72757;At Taraf;21386
