geonameid,sciiname,countrycode,fclass,fcode,latitude,longitude,moddate,name,population
4359245,Israel Creek Cemetery,US,S,CMTY,39.49343,-77.33137,,Israel Creek Cemetery,0
4360934,Loch Haven Park,US,L,PRK,38.91845,-76.53524,,Loch Haven Park,0
4362693,Montebello Waste Water Lake Dam,US,S,DAM,39.33677,-76.58302,,Montebello Waste Water Lake Dam,0
4362894,Mount Airy Shopping Center,US,S,MALL,39.36566,-77.16082,,Mount Airy Shopping Center,0
4363551,Neavitt Park,US,L,PRK,38.7279,-76.28884,,Neavitt Park,0
4356910,Greenleaf,US,P,PPL,39.49538,-76.9597,,Greenleaf,0
4360073,Knoxville,US,P,PPL,39.32705,-77.66416,,Knoxville,0
4360414,Laurel Valley,US,P,PPL,39.48622,-76.31218,,Laurel Valley,0
4356529,Grace Baptist Church,US,S,CH,39.15733,-76.5183,,Grace Baptist Church,0
4360398,Laurel Presbyterian Church,US,S,CH,39.10483,-76.87331,,Laurel Presbyterian Church,0
4360859,Little North East Creek,US,H,STM,39.61039,-75.93689,,Little North East Creek,0
4363894,North Deen,US,P,PPLX,39.51372,-76.15356,,North Deen,0
4364386,Old Coney Cemetery,US,S,CMTY,39.70564,-78.87141,,Old Coney Cemetery,0
4355929,Garfield Manor,US,P,PPL,39.24316,-77.18193,,Garfield Manor,0
4357467,Harmony Brethren Cemetery,US,S,CMTY,39.49455,-77.53665,,Harmony Brethren Cemetery,0
4360883,Little Seneca Creek,US,H,STM,39.14344,-77.33915,,Little Seneca Creek,0
4358755,Huntingfields Manor,US,P,PPL,38.58429,-76.62496,,Huntingfields Manor,0
4360447,Layhill South,US,P,PPL,39.069,-77.04276,,Layhill South,0
4355750,Front Creek,US,H,STM,38.7304,-76.34078,,Front Creek,0
4355868,Galestown Millpond,US,H,RSV,38.56762,-75.71382,,Galestown Millpond,0
4361766,Marshy Point,US,T,CAPE,38.90845,-76.46774,,Marshy Point,0
4364518,Olive School (historical),US,S,SCH,39.3276,-77.58443,,Olive School (historical),0
4358251,Holland Hills Park Church,US,S,CH,39.33372,-76.52274,,Holland Hills Park Church,0
4359197,Irons Mountain,US,T,MT,39.62676,-78.70891,,Irons Mountain,0
4356918,Greenmount United Brethren in Christ Church (historical),US,S,CH,39.62927,-76.86081,,Greenmount United Brethren in Christ Church (historical),0
4364366,Okahanikan Point,US,T,CAPE,38.19235,-76.08744,,Okahanikan Point,0
4365489,Pinel Clinic Hospital,US,S,HSP,39.2565,-76.79525,,Pinel Clinic Hospital,0
4356626,Grantsville Volunteer Fire Department,US,S,BLDG,39.69675,-79.40782,,Grantsville Volunteer Fire Department,0
4356772,Green Glade,US,P,PPL,39.47398,-79.26476,,Green Glade,0
4357189,Hall Creek,US,H,STM,38.08485,-75.78965,,Hall Creek,0
4363388,Mullins Park,US,L,PRK,39.514,-76.14023,,Mullins Park,0
4359335,James Rumsey Bridge,US,S,BDG,39.43649,-77.80138,,James Rumsey Bridge,0
4356256,Glendale,US,P,PPL,39.37983,-76.58552,,Glendale,0
4358807,Hutchins Choice,US,P,PPL,38.70567,-76.60524,,Hutchins Choice,0
4365535,Piney Grove Estates,US,P,PPL,38.66678,-75.85466,,Piney Grove Estates,0
4361130,Long Cove Estates,US,P,PPL,38.4529,-76.58301,,Long Cove Estates,0
4364001,North Salisbury Elementary School,US,S,SCH,38.37872,-75.59248,,North Salisbury Elementary School,0
4362499,Mill Run,US,P,PPL,38.88928,-75.96188,,Mill Run,0
4358193,Hog Island,US,T,ISL,38.5804,-77.18276,,Hog Island,0
4362037,McCoys Ferry Campground,US,S,CMP,39.60787,-77.96944,,McCoys Ferry Campground,0
4365448,Pine Knob,US,T,MT,39.5426,-77.59666,,Pine Knob,0
4357325,Hancocks Resolution Park,US,L,PRK,39.13483,-76.4469,,Hancocks Resolution Park,0
"4357047,Guilford Industrial Center,US,S,"""",39.17372,-76.83858,,Guilford Industrial Center,0"
4361998,Mayeski Park,US,L,PRK,39.44649,-77.04331,,Mayeski Park,0
4361644,Marbella,US,P,PPL,38.65234,-76.89108,,Marbella,0
